mean,std,abs_mean,iqr,bp_delta,bp_theta,bp_alpha,bp_beta
1.5576681e-09,0.05188115,0.03875943,0.059097983,0.47323996,0.049660016,0.088644885,0.4337053
5.722046e-10,0.026084287,0.01754568,0.022861585,0.062036686,0.036442406,0.04289291,0.029078983
2.3444493e-09,0.011394598,0.008335874,0.012752722,0.07609435,0.025967872,0.013652711,0.020680707
-6.198883e-10,0.01744954,0.012064263,0.01757387,0.38389423,0.07851663,0.040289182,0.0280855
-3.496806e-10,0.021809798,0.014109301,0.018507,0.49620733,0.045349497,0.038836256,0.02240412
1.970927e-09,0.02685194,0.017012883,0.021150857,0.6442965,0.10061851,0.04529069,0.02953922
-1.2397766e-09,0.0131378425,0.010020812,0.01570762,0.11395184,0.024833718,0.03267794,0.021374945
-3.1789144e-11,0.023228288,0.013900319,0.018507,0.12994088,0.048794556,0.02894885,0.02046489
5.086263e-10,0.013311988,0.009557127,0.014152411,0.06817029,0.027853195,0.032953173,0.02263522
1.2397766e-09,0.026001843,0.0162449,0.019440124,0.16119227,0.03702668,0.036840826,0.024894303
3.6557515e-10,0.018042697,0.012107643,0.017418351,0.43723437,0.032227855,0.053314436,0.020599393
1.3510386e-09,0.027772421,0.017649675,0.020528771,0.26008236,0.031151388,0.036078285,0.021515163
-2.22524e-09,0.021999788,0.014822307,0.020062208,0.5339515,0.037162244,0.025661593,0.020695865
-4.768372e-10,0.01831984,0.013343162,0.01998445,0.29418534,0.05800597,0.036441837,0.032711208
-8.424123e-10,0.014283003,0.0107948985,0.016485225,0.13249318,0.038543876,0.054132413,0.024653895
7.6293943e-10,0.025846856,0.017381987,0.024261275,1.066709,0.053082954,0.07084806,0.025909305
-1.0172526e-09,0.06173608,0.046067547,0.06656299,1.0051901,0.044443972,0.057696056,0.52566266
-3.1789144e-10,0.024997737,0.018766776,0.027877137,0.20529956,0.02142801,0.019898754,0.035001207
4.4504803e-10,0.016917357,0.012564433,0.018195957,0.24758272,0.030978361,0.0131472405,0.030184146
2.5431315e-10,0.023496646,0.017715454,0.02643857,0.24789394,0.029399684,0.044465657,0.033846896
1.9073487e-09,0.027507357,0.019808086,0.027255055,0.4478203,0.04243704,0.030797653,0.06374785
3.33786e-10,0.022188542,0.016907735,0.026438568,0.2810704,0.031520598,0.028007643,0.045508277
6.993612e-10,0.018321268,0.013731514,0.020995334,0.20475948,0.029814824,0.02115329,0.043008115
1.335144e-09,0.017011143,0.012656329,0.01881804,0.18281822,0.03180463,0.033630665,0.045197204
1.3033549e-09,0.02035754,0.015162415,0.023950232,0.11016067,0.020709671,0.034134947,0.06601668
8.9009605e-10,0.024756368,0.01854185,0.02939347,0.45959508,0.027592013,0.03084815,0.0831475
-6.3578287e-10,0.017397366,0.012927325,0.019595645,0.14026594,0.023531001,0.044957075,0.03864301
-1.9073486e-10,0.015978118,0.011560016,0.017573873,0.05094332,0.02761522,0.044694092,0.032551177
1.3033549e-09,0.031564873,0.021751428,0.02799378,0.48314646,0.032459058,0.059241395,0.21764883
-1.0331471e-09,0.013598662,0.010689942,0.01757387,0.07430117,0.029401407,0.0537784,0.03221386
1.0887782e-09,0.011709263,0.009013582,0.014463454,0.045129023,0.032464743,0.05069443,0.030536475
8.9009605e-10,0.0120054195,0.009362506,0.015552101,0.04830779,0.019987343,0.055104528,0.030353544
-9.536744e-10,0.012783916,0.010038979,0.016796267,0.06802774,0.028781712,0.061390925,0.03427109
5.2452087e-10,0.011501739,0.0087561635,0.01399689,0.047492325,0.026412586,0.050527718,0.032663148
7.152558e-11,0.014423338,0.011362922,0.019129083,0.03658965,0.02859528,0.044717915,0.032858595
9.059906e-10,0.012309481,0.009632117,0.016174182,0.06765973,0.029620081,0.06785752,0.037482623
-1.6848246e-09,0.012292302,0.00941193,0.015085536,0.05164494,0.019876057,0.055149484,0.032923084
